nquest,pesofit,y,riscons2
507542,.47950351,21136.314,50
507544,.46564969,54585.16,80
507552,.51761639,35778.02,20
507557,.95115149,22840.318,50
507640,.46610403,38507.449,100
507644,.42718503,18765.615,50
507728,.6601091,26080.211,0
507823,.215599,36440.664,50
507863,.20426215,25447.264,0
507905,3.6781445,58943.984,90
507908,1.7432911,24923.305,30
507913,3.3774009,12802.33,100
507924,2.352313,17818.326,50
508305,4.2263846,13019.362,30
508861,.40583447,37875.145,20
509054,1.9365883,18295.406,30
509057,4.6065416,34965.52,70
509064,2.009306,18543.281,80
509068,1.865853,12650.174,20
509071,.28018662,25504.98,20
509123,.28035691,11880,70
509366,.44199762,22073.305,80
509550,.55305225,27751.604,50
509601,.42989066,24807.076,30
509689,.39585051,15600,60
509717,.27937952,21165.271,90
509806,.23743504,15629.6,100
509869,.87273484,33072.992,0
509889,1.7591219,23631.154,0
510109,2.0810559,14551.104,90
510181,1.6461871,18190,40
510239,.30006909,48817.82,0
510244,.16654977,52329.531,70
510245,.16654977,36013.297,0
510329,1.2463616,10.597946,100
510345,.48166597,29454.4,100
510374,2.6280587,26098,50
510432,2.9108748,11400,50
510433,2.3997338,47642.539,70
510634,1.4323559,37991.582,50
510984,.97909433,33014.66,50
511074,2.3839402,22945.158,90
511116,2.1565123,16400,100
511130,2.0286279,14231.331,0
511136,3.7365713,14555.298,50
511160,1.7728561,40590.664,0
511260,.34093264,29366.271,70
511307,.32043642,58789.664,0
511315,.60320151,17550,90
511342,3.6323705,17024.73,100
511352,4.8200607,39864.754,100
511354,3.0789838,10692.987,100
511355,2.8430314,18887.828,100
511365,5.8621454,20200,100
511367,2.1188445,20587.652,100
511416,1.7359859,7801.4663,50
511419,.83412308,18610.996,50
511424,.77629715,19818.326,20
511431,.80393583,23418.326,50
511435,.80393583,13010.996,40
511438,.83412308,9973.2773,0
511474,.3015734,41803.664,70
511491,.26037499,13221.991,50
511494,.18016282,11000,50
511495,.22518061,14400,50
511500,.18056421,19350,50
511501,.18056421,18000,50
511519,.26988009,7669.729,20
511525,.27646965,14792.828,70
511629,.41136631,24320.344,40
511757,.66438311,31610.996,50
512211,.88108993,19143.258,70
512368,1.4048519,16087.489,100
512372,.9209317,8905.3555,100
512417,.85035777,21115.395,100
512452,.48035914,46577.238,100
512457,.27388182,47500.383,100
512517,2.8459542,7003.2988,70
512574,.31290984,16476.652,0
512704,.20273057,30545.902,50
512768,.98372251,20567.943,100
512784,1.3881749,18805.229,100
512807,.68823159,7812.8286,100
512843,.8002845,26200.246,60
512845,.47877705,39713.348,70
512849,.71677041,24602.762,50
512858,.26450372,10300,100
512884,.76837242,12002.199,100
512887,1.7691642,20203.666,100
512892,.64516062,9600,100
512897,.64516062,12805.498,100
512921,1.6365011,47124.18,10
512941,.80083352,24221.992,0
512963,.20215276,36931.707,65
513045,1.9745784,57157.094,80
513064,2.1034703,43446.117,80
513131,.4567951,41390,30
513330,.4517259,15103.665,50
513335,.60842007,12109.163,0
513369,.29493725,34240.102,10
513377,.40257466,32646.611,0
513384,.28908119,30174.527,50
513406,1.2381258,44091.633,0
513411,1.8169544,29225.656,100
513428,.33842951,49593.941,0
513437,.36489904,69092.664,0
610980,.54136157,42049.723,0
611412,.79119092,128016.58,30
611441,.57877773,48274.16,30
611453,.44350016,51886.359,10
611512,.5087238,23932.863,30
611614,1.2234471,69003.422,60
611774,.38735011,34419.078,90
612011,.3245599,39635.992,40
612269,.82346797,20158.779,50
612423,.47134441,29917.516,70
613605,.50048357,23640,0
613825,.24902028,21300,100
614068,.60725754,9100,40
614094,.43619591,23310.557,40
614660,1.0682255,15773.125,80
614683,.36953202,56523.648,60
614783,.42681286,26175.656,50
615399,2.8175128,45410.977,60
615751,.34282365,32711.549,10
616016,.52027839,22112.91,30
616313,.39965066,97663.109,0
617023,.38278246,43079.324,50
617231,.90433687,14774.322,50
617398,1.1340712,139528.97,0
617902,1.0581764,102759.23,100
618755,.29803333,28131.357,0
619457,.95111191,30438.994,100
620481,.46357009,78634.531,0
620503,.36136615,50712.535,100
620805,.32691878,61023.305,30
620829,.70737165,30627.143,40
620858,.47613895,66017.258,50
621762,2.5127394,15008.326,50
621766,1.8419299,21086.652,50
621773,2.6146569,47727.965,50
622034,.29445606,40029.32,60
622228,1.2879864,68718.313,50
622306,.32969511,17701.445,60
622707,.30496797,10411.69,100
622717,.32131255,15878.708,100
622915,3.1315556,10530,30
623281,.64994729,20543.68,10
623300,1.0031236,19508.928,40
623305,2.129801,21472.732,40
623606,1.1545304,27626.295,20
623614,.21362159,11131.942,90
623619,.30607668,7540,40
624781,5.8621454,32800,90
625193,.20157713,42740.316,0
625513,.32043642,29376.492,70
625536,.72614384,18440.318,80
625641,.33913735,58619.66,50
625694,.195133,14980.624,50
